"paper_id","mechanism_cluster","signal_source","signal_available_when","affected_action_or_decision","use_mode","causal_status","feedback_channels","validation_feedback","main_assumption","failure_boundary","reusable_assets","evidence_access","evidence_weight","comparison_claim_type","source_locator"
"ISSTA2026_steering-tree-of-thought-reasoning-via-deductive-verification","PLANNING_ACTION_TOOL_STOPPING","SMT entailment result and counterexample for candidate thought encoding","after each candidate step","prune, refine, backtrack, or continue path","online_use","author_claim_plus_artifact_mechanism","formal_checker|model_generated_constraints|counterexamples","SMT solver; headline accuracy/token results only in abstract","LLM constraint encoding is faithful to natural language/task","formalizable tasks; full tables and encoding-error audit unavailable","modular ToT/SMT controller, traces, ablation switches","artifact_plus_official_abstract","moderate","agent_inference","cards/ISSTA2026_steering-tree-of-thought-reasoning-via-deductive-verification.yaml"
"ICSE2026_saint-service-level-integration-test-generation-with-program-analysis-an","PLANNING_ACTION_TOOL_STOPPING","static endpoint/dependency model plus HTTP/database execution feedback","static model before generation; responses after each request block","request values/order, repair, coverage augmentation, scenario revision","online_use","component_ablation","static_analysis|execution|generated_tests","coverage, HTTP behavior, faults, developer survey","program model is complete and coverage/status assertions reflect useful behavior","eight Java services; weak assertions; state setup/cleanup failures","SAINT pipeline, subjects, prompts, results","full_text","high","agent_inference","cards/ICSE2026_saint-service-level-integration-test-generation-with-program-analysis-an.yaml"
"FSE2026_can-old-tests-do-new-tricks-for-resolving-swe-issues","TEST_EXECUTION_ANALYSIS_FEEDBACK","retrieved historical tests, suspicious-function coverage, test outcomes","selected before repair; outcomes during live trajectory","reproduction, localization, patch selection/refinement, early stop","online_use","controlled_component_and_negative_cases","historical_tests|coverage|execution","selected tests plus SWE-bench official tests","historical tests cover issue semantics and selected test success predicts completion","selected tests can prematurely stop otherwise solvable cases; mapping inconsistency","TestPrune code, mappings, evaluation data","full_text","high","agent_inference","cards/FSE2026_can-old-tests-do-new-tricks-for-resolving-swe-issues.yaml"
"ISSTA2026_issueexec-a-test-driven-approach-for-localizing-software-engineering-iss","TEST_EXECUTION_ANALYSIS_FEEDBACK","retrieved tests, dynamic call hierarchy, code/semantic expansion","before downstream repair","file/module/function ranking and Agentless context","offline_preprocessing","component_ablation_and_downstream_comparison","historical_tests|dynamic_analysis|static_analysis","historical test executions and downstream repair tests","retrieved old tests execute behavior relevant to new issue","coverage gaps and historical vocabulary mismatch; not adaptive online","IssueExec dataset, traces, localization pipeline","full_text","high","agent_inference","cards/ISSTA2026_issueexec-a-test-driven-approach-for-localizing-software-engineering-iss.yaml"
"ICSE2026_assessing-coherency-and-consistency-of-code-execution-reasoning-by-large","TEST_EXECUTION_ANALYSIS_FEEDBACK","predicted variable/control states compared with real execution","after generated reasoning","none; classifies and locates first reasoning divergence","offline_analysis","correlational_diagnostic","execution|model_generated_reasoning|state_probes","instrumented executions and coherence rules","selected state probes represent execution reasoning correctness","small programs/probes; coherence can be consistently wrong","CES prompts, state checks, error taxonomy","full_text","high","agent_inference","cards/ICSE2026_assessing-coherency-and-consistency-of-code-execution-reasoning-by-large.yaml"
"ICSE2026_are-solved-issues-in-swe-bench-really-solved-correctly-an-empirical-stud","TEST_EXECUTION_ANALYSIS_FEEDBACK","all developer tests plus generated oracle-vs-candidate differentiating tests","after patch completion","benchmark acceptance/filtering; no agent repair action","offline_analysis","test_intervention_plus_manual_audit","developer_tests|differential_execution|manual_review","developer tests, oracle patch, manual correctness review","oracle behavior is a useful intent reference despite valid alternatives","Python/SWE-bench; 66.2% audited suspicious patches remain uncertain","PatchDiff code, tests, patches, study data","full_text","high","agent_inference","cards/ICSE2026_are-solved-issues-in-swe-bench-really-solved-correctly-an-empirical-stud.yaml"
"ASE2025_let-the-code-speak-incorporating-program-dynamic-state-for-better-method","TEST_EXECUTION_ANALYSIS_FEEDBACK","stack/test/call-graph evidence and inserted print-debugging state","during localization rounds","verify and reprioritize suspicious methods","online_use","author_claim_plus_artifact_ablation_design","dynamic_analysis|benchmark_tests|agent_messages","Defects4J tests and Top-k location outcome","probes reach relevant execution and inter-agent text is faithful","Java/Defects4J; manuscript/result tables unavailable","PingFL code, prompts, data, call graph, ablation configs","artifact_plus_official_abstract","moderate","agent_inference","cards/ASE2025_let-the-code-speak-incorporating-program-dynamic-state-for-better-method.yaml"
"ICSE2026_specguru-hierarchical-llm-driven-api-points-to-specification-generation-","TEST_EXECUTION_ANALYSIS_FEEDBACK","bottom-up summaries and generated differential executions","after each candidate API summary","reject/regenerate summary and reuse it for callers","online_use","author_claim_plus_artifact_mechanism","program_analysis|differential_execution|generated_tests","compile/run agreement between original and reduced function","generated tests cover points-to semantics and passing summary is compositional","C points-to only; no manuscript/results; stated RANSAC absent from code search","15 libraries, parser, prompts, differential test pipeline","artifact_plus_official_abstract","moderate","agent_inference","cards/ICSE2026_specguru-hierarchical-llm-driven-api-points-to-specification-generation-.yaml"
"FSE2026_stepfly-agentic-troubleshooting-guide-automation-for-incident-diagnosis","STATE_MEMORY_SPEC_CONSTRAINT_PRESERVATION","reviewed DAG, typed edge/node states, plugin outputs, key-value memory","DAG offline; state after each diagnostic step","schedule/retry/skip next diagnostic action and data handoff","online_use","component_ablation_or_case_evidence","tool_outputs|workflow_state|human_review","tool outputs, execution status, human-reviewed guide","reviewed DAG and plugin normalization preserve operational intent","guide quality, stale plugins, missing telemetry, no repair endpoint","TSG/DAG schema, plugins, scheduler, benchmark","full_text","high","agent_inference","cards/FSE2026_stepfly-agentic-troubleshooting-guide-automation-for-incident-diagnosis.yaml"
"ASE2025_agentic-specification-generator-for-move-programs","STATE_MEMORY_SPEC_CONSTRAINT_PRESERVATION","Move code/dependencies, generated clauses, compiler/prover errors, mutation coverage","before generation and after each proof attempt","rewrite ensures/aborts/modifies/invariants or add clauses","online_use","component_ablation","formal_checker|static_analysis|mutation_testing","Move Prover and mutation-based specification coverage","formal acceptance/mutation coverage approximate intended contract","underspecified intent; prover-valid but weak specifications","MSG code, prompts, specifications, mutation suite","full_text","high","agent_inference","cards/ASE2025_agentic-specification-generator-for-move-programs.yaml"
"ISSTA2026_logichunter-testing-llm-agent-frameworks-with-an-agentic-oracle","STATE_MEMORY_SPEC_CONSTRAINT_PRESERVATION","documentation, source, runtime probes, dual-memory observations, verdict consensus","during test generation and oracle investigation","next investigation tool, prune memory, report/discard failure","online_use","component_ablation","documentation|source_analysis|execution|agent_memory","runtime behavior, cross-checks, high-confidence consensus","documents/source encode intended behavior and oracle consensus is reliable","silent semantics, framework drift, oracle self-confirmation","LogicHunter, seeds/mutators, oracle traces, benchmark","full_text","high","agent_inference","cards/ISSTA2026_logichunter-testing-llm-agent-frameworks-with-an-agentic-oracle.yaml"
"FSE2026_experepair-dual-memory-enhanced-llm-based-repository-level-program-repai","STATE_MEMORY_SPEC_CONSTRAINT_PRESERVATION","retrieved prior demonstrations and summarized maintained insights","before reproduction/patch action on each new issue","prompt composition, reproduction script, patch generation","online_use","component_ablation_and_sensitivity","retrieval|agent_memory|benchmark_tests","reproduction and SWE-bench tests","summary/root-cause memory is faithful and BM25 relevance predicts transfer","top-5 and >15-20 insights degrade; localization has no oracle","ExpeRepair code, prompts, dual-memory pipeline","full_text","high","agent_inference","cards/FSE2026_experepair-dual-memory-enhanced-llm-based-repository-level-program-repai.yaml"
"ISSTA2026_attncompress-dynamic-attention-guided-trajectory-compression-for-softwar","STATE_MEMORY_SPEC_CONSTRAINT_PRESERVATION","PPL segments, proxy attention scores, recent tail, rolling rescoring","when context budget triggers during trajectory","retain/drop/recall historical blocks supplied to next action","online_use","artifact_result_comparison_and_ablation","proxy_model_attention|trajectory_memory|benchmark_tests","SWE-bench pass rate, cost/tokens, rolling ablation","proxy attention from another model tracks future decision relevance","small accuracy loss vs uncompressed; proxy mismatch; manuscript unavailable","compression service, Trae integration, raw trajectories, result scripts","artifact_plus_official_abstract","moderate","agent_inference","cards/ISSTA2026_attncompress-dynamic-attention-guided-trajectory-compression-for-softwar.yaml"
"ISSTA2026_evident-an-evidence-preserving-framework-for-iterative-system-level-pack","STATE_MEMORY_SPEC_CONSTRAINT_PRESERVATION","latest build feedback, edit history, cached findings, ISA knowledge","after each clean remote build","artifact localization/edit, do-not-repeat constraint, next iteration/stop","online_use","component_ablation_and_iteration_intervention","build_feedback|logs|agent_memory|retrieval","Open Build Service clean build","logs are stable/actionable and build success approximates repair","unusable/inconsistent evidence; invalid artifacts; no runtime correctness","package datasets, evidence schema, controller and tools","full_text","high","agent_inference","cards/ISSTA2026_evident-an-evidence-preserving-framework-for-iterative-system-level-pack.yaml"
"ICSE2026_on-llms-internal-representation-of-code-correctness","OUTCOME_PROGRESS_UNCERTAINTY_SIGNALS","layer-wise hidden-state correctness direction from paired code","after candidate generation; before execution","rank/select among ten candidates","offline_use","correlational_with_ranking_evaluation","model_hidden_states|benchmark_tests","benchmark tests on selected code","linear direction is stable/model-specific and represents correctness","candidate/model shift; uncalibrated; no online agent action","LAT probes, paired dataset, ranking code","full_text","high","agent_inference","cards/ICSE2026_on-llms-internal-representation-of-code-correctness.yaml"
"FSE2026_clotho-measuring-task-specific-pre-generation-test-adequacy-for-llm-inpu","OUTCOME_PROGRESS_UNCERTAINTY_SIGNALS","density of input hidden state under passing-input GMM","before generation/execution","prioritize which inputs to execute","offline_use","correlational_with_ordering_evaluation","model_hidden_states|execution_labels","observed pass/fail labels on executed inputs","passing-region density transfers and low density means risk","model/task-specific representations; no adaptive generation policy","Clotho implementation, fitted models, evaluation sets","full_text","high","agent_inference","cards/FSE2026_clotho-measuring-task-specific-pre-generation-test-adequacy-for-llm-inpu.yaml"
"FSE2026_adadec-a-uncertainty-guided-lookahead-decoding-framework-for-llm-based-c","OUTCOME_PROGRESS_UNCERTAINTY_SIGNALS","next-token Shannon entropy and learned threshold","each decoding token","trigger lookahead and commit next token","online_use","controlled_decoding_ablation","model_entropy|lookahead_scores|benchmark_tests","code benchmark tests and matched decoding baselines","entropy threshold generalizes and continuation score predicts better token","beam search sometimes wins; threshold/model sensitivity; token-level only","AdaDec code, thresholds, benchmark outputs","full_text","high","agent_inference","cards/FSE2026_adadec-a-uncertainty-guided-lookahead-decoding-framework-for-llm-based-c.yaml"
"ISSTA2026_atropos-improving-cost-benefit-trade-off-of-llm-based-agents-under-self-","OUTCOME_PROGRESS_UNCERTAINTY_SIGNALS","GCN prediction from partial Semantic Flow Graph","mid-trajectory or after partial ensemble","terminate trajectory or hotswap model/remaining samples","online_use","post_prediction_intervention","trajectory_graph|model_embeddings|endpoint_labels","agent endpoint labels, rescued/destructive outcomes, relative cost","partial graph patterns transfer and migrated context remains useful","agent-specific labels; early graphs weak; RepairAgent extrapolated","SFG builder, predictors, source-model trajectories","full_text","high","agent_inference","cards/ISSTA2026_atropos-improving-cost-benefit-trade-off-of-llm-based-agents-under-self-.yaml"
"ASE2025_watson-a-cognitive-observability-framework-for-the-reasoning-of-llm-powe","OUTCOME_PROGRESS_UNCERTAINTY_SIGNALS","post-hoc FIM/RepCoT traces, prompt attribution, judge filtering","after primary output; before optional rerun","diagnostic hint for self-reflection/localization","offline_analysis_then_rerun","non_significant_downstream_comparison","post_hoc_model_reasoning|prompt_attribution|model_judge","MMLU/location outcomes and native-trace judge comparison","surrogate, attribution, and judge recover faithful reasoning","30.9% trace divergence despite same answer; post-hoc cost; judge bias","prompts and cognitive-observability pipeline","full_text","high","agent_inference","cards/ASE2025_watson-a-cognitive-observability-framework-for-the-reasoning-of-llm-powe.yaml"
"ISSTA2026_code-mue-measuring-code-llm-uncertainty-through-execution-based-semantic","OUTCOME_PROGRESS_UNCERTAINTY_SIGNALS","execution-agreement graph over sampled programs and input-only probes","after candidate sampling; before oracle tests","reject risky tasks or rerank/select candidate","offline_use","correlational_with_selection_evaluation","execution|semantic_agreement|benchmark_tests","hidden benchmark tests, AUROC, risk-coverage","probe set separates semantic modes and consensus predicts correctness","confident unanimous error; function scope; sampling dominates cost","Code-MUE algorithms, probes, sandbox and case data","full_text","high","agent_inference","cards/ISSTA2026_code-mue-measuring-code-llm-uncertainty-through-execution-based-semantic.yaml"
"FSE2026_debugging-engine-enhanced-by-prior-knowledge-can-we-teach-llm-how-to-deb","DEBUGGING_ROOT_CAUSE_REPAIR_DECISIONS","validated historical bug-understanding/debug-strategy records and fused retrieval","before one-shot repair","root-cause framing and patch generation","online_use","controlled_context_injection","static_analysis|retrieval|benchmark_tests","source-instance tests for memory admission and target repair tests","test-passing record is faithful and retrieved knowledge transfers","one-shot setup; leakage/retrieval mismatch; test oracle limitations","EditDescriptor, knowledge records, retrieval corpus","full_text","high","agent_inference","cards/FSE2026_debugging-engine-enhanced-by-prior-knowledge-can-we-teach-llm-how-to-deb.yaml"
"ICSE2026_input-reduction-enhanced-llm-based-program-repair","DEBUGGING_ROOT_CAUSE_REPAIR_DECISIONS","ddmin-reduced failing input preserving buggy/reference disagreement","before patch generation","repair prompt/context and patch decision","offline_preprocessing","controlled_plugin_comparison","differential_execution|input_reduction|benchmark_tests","execution against buggy/reference programs and repair tests","preserved disagreement retains the same root cause","requires reference program and reducible input; reducer can be wrong","ReduceFix reducers, reduced inputs, evaluation pipeline","full_text","high","agent_inference","cards/ICSE2026_input-reduction-enhanced-llm-based-program-repair.yaml"
"ICSE2026_evaluating-and-improving-automated-repository-level-rust-issue-resolutio","DEBUGGING_ROOT_CAUSE_REPAIR_DECISIONS","isolated reproduction plus cross-project call/argument/output trace","during repair after execution","reproduction, localization, diagnosis, patch, revalidation","online_use","component_ablation","execution|dynamic_analysis|benchmark_tests","workspace tests and benchmark harness","trace execution reproduces issue and tests encode intended Rust fix","Cargo/environment complexity; trace overhead; benchmark oracle","Rust-SWE-bench, RustForger workspace and Trace tool","full_text","high","agent_inference","cards/ICSE2026_evaluating-and-improving-automated-repository-level-rust-issue-resolutio.yaml"
"ICSE2026_repair-ingredients-are-all-you-need-improving-large-language-model-based","DEBUGGING_ROOT_CAUSE_REPAIR_DECISIONS","dependency-derived internal code plus historical code/root-cause/fix triples","during reasoning and before solution generation","root-cause refinement, ingredient query, repair plan and patch","online_use","component_ablation","static_analysis|retrieval|benchmark_tests","Defects4J tests and correct-patch assessment","perfect location and faithful root-cause text make retrieval relevant","root cause unvalidated; Java/history dependence; leakage risk","ReinFix tools, prompts, retrieval corpus, patches","full_text","high","agent_inference","cards/ICSE2026_repair-ingredients-are-all-you-need-improving-large-language-model-based.yaml"
"ASE2025_root-cause-analysis-of-risc-v-build-failures-via-llm-and-mcts-reasoning","DEBUGGING_ROOT_CAUSE_REPAIR_DECISIONS","template-filtered phase logs, domain knowledge, MCTS explanation search","after build failure","root-cause classification only","offline_analysis","author_claim_only","build_logs|retrieval|model_reasoning","claimed 117 labeled failures and diagnosis accuracy","log compression/knowledge/search traces preserve true cause","no full text/artifact; no repair-action evidence","claimed 117-case dataset not located","official_abstract_only","low","agent_inference","cards/ASE2025_root-cause-analysis-of-risc-v-build-failures-via-llm-and-mcts-reasoning.yaml"
"ISSTA2026_causalrepair-bridging-the-causality-gap-in-large-language-model-based-au","DEBUGGING_ROOT_CAUSE_REPAIR_DECISIONS","static failing-test slice plus execution-trace dynamic source slice","before first patch and during feedback rounds","repair context, candidate patch, retry and augmentation","online_use","author_claim_plus_artifact_mechanism","static_analysis|dynamic_analysis|benchmark_tests","Defects4J tests and claimed semantic patch review","dependency slices equal minimal causal context and tests validate fix","unexecuted dependencies omitted; prompt shrinking; no slice ablations/full paper","313 patches, slice/test metadata, iterative repair scripts","artifact_plus_official_abstract","moderate","agent_inference","cards/ISSTA2026_causalrepair-bridging-the-causality-gap-in-large-language-model-based-au.yaml"
"ICSE2026_enhancing-issue-localization-agent-with-tool-interactive-training","TRAINING_PROCESS_SUPERVISION_POLICY_OPTIMIZATION","gold-patch function ranking as terminal reward; tool observations at deployment","reward offline training; observations during live search","repository tool choice, search path, exit and ranked localization","offline_training_online_use","training_ablation_and_downstream_evaluation","tool_observations|gold_patch_reward|benchmark_tests","nDCG to gold patch and downstream repair tests","gold-touched functions are correct localization and terminal reward credits actions","endpoint-only credit; framework/tool dependence; gold patch proxy","RepoSearcher tools, SFT/RL trajectories, models","full_text","high","agent_inference","cards/ICSE2026_enhancing-issue-localization-agent-with-tool-interactive-training.yaml"
"ASE2025_mcts-refined-cot-high-quality-fine-tuning-data-for-llm-based-repository-","TRAINING_PROCESS_SUPERVISION_POLICY_OPTIMIZATION","gold-visible subtask exact match and LLM-judged MCTS paths","offline data construction","learned localization and patch-generation rationale","offline_training","endpoint_training_comparison_not_mechanism_isolation","gold_patch|model_judge|benchmark_tests","gold patch exact locations/edits and target tests","gold-conditioned rewritten rationale is faithful and teaches process","oracle-visible data; rationale post-hoc; conclusion/table inconsistency","MCTS-refined CoT dataset and training pipeline","full_text","high","agent_inference","cards/ASE2025_mcts-refined-cot-high-quality-fine-tuning-data-for-llm-based-repository-.yaml"
"ICSE2026_seer-enhancing-chain-of-thought-code-generation-through-self-exploring-d","TRAINING_PROCESS_SUPERVISION_POLICY_OPTIMIZATION","MCTS terminal tests and learned partial-path value","offline training; each generation decision online","emit direct code or another reasoning step; beam branch choice","offline_training_online_use","component_ablation","benchmark_tests|model_value|tree_search","code unit tests, pass@1 and adaptive-CoT behavior","terminal tests and gold-refined paths label intermediate reasoning","intermediate steps unobserved; Python/function tasks; test coverage","SEER models, prompts, step data and code","full_text","high","agent_inference","cards/ICSE2026_seer-enhancing-chain-of-thought-code-generation-through-self-exploring-d.yaml"
"ICSE2026_sealign-alignment-training-for-software-engineering-agent","TRAINING_PROCESS_SUPERVISION_POLICY_OPTIMIZATION","subtree endpoint success rates and critical sibling action pairs","offline trajectory tree construction; learned policy online","tool action sequence, empty/loop avoidance, patch behavior","offline_training_online_use","component_ablation","trajectory_tree|endpoint_tests|preference_training","SWE-bench/HumanEvalFix endpoint tests and transfer","subtree success difference credits the local action","OpenHands-specific labels; weak AutoCodeRover transfer; endpoint proxy","critical pairs, training code, aligned models","full_text","high","agent_inference","cards/ICSE2026_sealign-alignment-training-for-software-engineering-agent.yaml"
"ISSTA2026_swe-pdb-teaching-llms-to-leverage-debugging-tools-via-agentic-training","TRAINING_PROCESS_SUPERVISION_POLICY_OPTIMIZATION","filtered synthetic debugger trajectories and rule-based test reward; PDB state online","offline SFT/RL; state after each debugger command","breakpoint/step/inspect/rewrite sequence and stop","offline_training_online_use","author_claim_plus_artifact_training_pipeline","debugger_state|benchmark_tests|training_reward","task tests and claimed debugger-use analysis","synthetic workflow and test reward induce strategic debugging","Python/PDB only; manuscript/results unavailable; long stateful errors","SFT/RL data, six task families, PDB environment, scripts","artifact_plus_official_abstract","moderate","agent_inference","cards/ISSTA2026_swe-pdb-teaching-llms-to-leverage-debugging-tools-via-agentic-training.yaml"
"ISSTA2026_seer-self-enhancing-chain-of-thought-compression-for-reasoning-models","TRAINING_PROCESS_SUPERVISION_POLICY_OPTIMIZATION","passing/non-looping shortest sampled CoT and MAD length filter","offline data selection; learned behavior at inference","reasoning length and loop tendency","offline_training_online_use","component_ablation_and_sensitivity","endpoint_tests|trajectory_length|loop_detector","task labels/tests, truncation and loop detector","shortest passing trace is faithful/sufficient reasoning","strict filtering loses hard long traces; no per-instance online stop; percentage inconsistency","data processing, loop detector, training/evaluation configs","full_text","high","agent_inference","cards/ISSTA2026_seer-self-enhancing-chain-of-thought-compression-for-reasoning-models.yaml"
